
1,2026-05-20 15:06:54,3.482011
2,2026-05-20 15:06:59,2.554990
3,2026-05-20 15:07:08,3.566998
4,2026-05-20 15:07:14,2.856985
5,2026-05-20 15:07:20,3.024012
6,2026-05-20 15:07:26,2.698961
7,2026-05-20 15:07:32,3.587978
8,2026-05-20 15:07:36,1.307036
9,2026-05-20 15:07:50,9.434003
10,2026-05-20 15:07:55,2.547021
11,2026-05-20 15:11:09,3.827009
12,2026-05-20 15:11:15,3.578038
13,2026-05-20 15:11:19,2.475016
14,2026-05-20 15:11:39,4.226056
15,2026-05-20 15:13:06,6.215010
16,2026-05-20 15:13:13,3.959906
17,2026-05-20 15:16:34,1.867002
18,2026-05-20 15:18:23,2.645082
19,2026-05-20 15:18:32,4.022921
20,2026-05-20 15:18:40,1.921967
21,2026-05-20 15:18:44,2.788987
22,2026-05-20 15:18:50,2.360014
23,2026-05-20 15:20:24,3.710015
24,2026-05-20 15:20:32,4.646951
25,2026-05-20 15:20:45,2.613988
26,2026-05-20 15:20:56,2.548956
27,2026-05-20 15:21:09,4.296997
28,2026-05-20 15:21:28,3.443995
29,2026-05-20 15:21:38,4.190993
30,2026-05-20 15:21:51,3.496994
31,2026-05-20 15:28:56,2.450024
32,2026-05-20 15:29:02,3.375998
33,2026-05-20 15:29:07,2.468018
34,2026-05-20 15:29:52,3.286983
35,2026-05-20 15:29:59,3.221071
36,2026-05-20 15:30:17,4.948978
37,2026-05-20 15:30:25,2.511010
38,2026-05-20 15:30:35,3.217992
39,2026-05-20 15:31:05,4.530010
40,2026-05-20 15:31:10,2.375042
41,2026-05-20 15:31:16,3.544974
42,2026-05-20 15:31:23,3.963003
43,2026-05-20 15:31:31,1.683986
44,2026-05-20 15:31:42,5.602059
45,2026-05-20 15:31:47,3.446988
46,2026-05-20 15:32:24,5.068003
47,2026-05-20 15:32:32,4.272962
48,2026-05-20 15:32:39,4.495007
49,2026-05-20 15:34:07,3.326018
50,2026-05-20 15:34:15,2.721988
51,2026-05-20 15:34:22,4.228012
52,2026-05-20 15:34:28,3.400054
53,2026-05-20 15:34:52,3.474055
54,2026-05-20 15:35:01,2.428002
55,2026-05-20 15:35:11,2.513993
56,2026-05-20 15:35:22,2.490033
57,2026-05-20 15:35:30,2.433979
58,2026-05-20 15:35:36,4.017020
59,2026-05-20 15:35:50,3.309983
60,2026-05-20 15:36:04,4.052009
61,2026-05-20 15:36:11,4.180976
62,2026-05-20 15:36:20,4.131996
63,2026-05-20 15:37:12,3.712030
64,2026-05-20 15:37:18,2.818988
65,2026-05-20 15:38:11,4.138007
66,2026-05-20 15:38:23,3.971991
67,2026-05-20 15:38:37,2.495994
68,2026-05-20 15:38:49,3.901040
69,2026-05-20 15:38:55,3.589985
70,2026-05-20 15:39:06,3.236041
71,2026-05-20 15:39:19,3.472962
72,2026-05-20 15:39:36,2.766007
73,2026-05-20 15:39:44,3.903993
74,2026-05-20 15:39:55,4.158040
75,2026-05-20 15:40:01,3.132076
76,2026-05-20 15:40:07,4.825960
77,2026-05-20 15:40:38,4.745203
78,2026-05-20 15:41:15,4.522009
79,2026-05-20 15:41:22,2.462971
80,2026-05-20 15:41:59,2.619007
81,2026-05-20 15:42:05,4.010993
82,2026-05-20 15:42:09,0.864994
83,2026-05-20 15:42:41,3.297011
84,2026-05-20 15:42:49,4.302956
85,2026-05-20 15:42:53,2.586003
86,2026-05-20 15:42:59,2.605047
87,2026-05-20 15:43:03,2.475042
88,2026-05-20 15:43:09,4.203053
89,2026-05-20 15:43:14,2.915026
90,2026-05-20 15:43:25,2.894067
91,2026-05-20 15:43:30,3.154020
92,2026-05-20 15:44:03,3.046034
93,2026-05-20 15:44:16,6.859988
94,2026-05-20 15:44:23,3.412975
95,2026-05-20 15:45:10,5.911063
96,2026-05-20 15:45:28,3.530953
97,2026-05-20 15:45:34,3.219991
98,2026-05-20 15:45:39,2.334921
99,2026-05-20 15:46:08,5.551004
100,2026-05-20 15:46:17,6.108028
